                 NAME                                    QUANTITY

XY300VA-5.00-XINYA-2 Pin Screw Terminal Block(Blue)         1
CD4017BE Counter IC DIP-16 Package                          1
220 Ohm 0.5W Metal Film Resistor                            10
5mm DIP LED   (Any colour)                                  10
NE555 Timer IC,DIP-8                                        1
0.01uF 50V -103 Ceramic disc Capacitor DIP                  1
10uF 25V Electrolytic Capacitor                             1
10K Ohm 3Pin Potentiometer                                  1
1K Ohm Through Hole Resistor                                1
